client_id,first_name,last_name,age,date_of_birth,email,phone,country,monthly_salary_usd,annual_bonus_usd,monthly_expenses_usd,debt_to_income,savings_rate,net_worth_usd,account_balance_usd,account_type,account_age_years,join_date,customer_tenure_days,num_products,is_premium_client,monthly_transactions,avg_transaction_amount_usd,failed_transactions,international_txn_pct,preferred_channel,last_login_days_ago,last_transaction_date,credit_score,num_loans,loan_default_risk,credit_card_limit_usd,payment_on_time_pct
CLI-9AE1515B,Daniel,Mack,42,1984-01-16,daniel22@outlook.com,+55 (041) 1202-7081,Brazil,725.89,487.84,731.45,1.007662447631291,0.019,16215.36,4844.02,premium,4.6,2022-03-12,1467,1,1,33,43.58,3,0.1431,app,6,2026-03-10,554,4,0.8473,1419.33,0.1811
CLI-AA51B81E,Shannon,Ramos,47,1978-06-01,shannon59@outlook.com,(928)559-8117x24372,Panama,657.39,2157.96,864.81,1.315525309305343,-0.0168,-7594.23,1830.22,savings,2.7,2024-09-20,544,4,0,10,397.39,1,0.4954,app,1,2026-03-09,610,1,0.8936,1415.32,0.3312
CLI-4BF1198B,Kelly,Clark,51,1974-12-15,clark.k@gmail.com,+54 15 2556 4739,Argentina,928.73,937.52,686.9,0.7396150805124622,0.2319,11312.23,1044.58,premium,8.1,2018-02-21,2947,2,1,16,74.48,0,0.2872,branch,0,2026-03-12,655,0,0.4979,2147.01,0.7335
CLI-9CF1945C,Mitchell,Smith,42,1983-11-15,smith.m@hotmail.com,3148893952,Colombia,2097.51,6089.69,1372.96,0.6545663934738635,0.2787,26082.23,16894.83,checking,4.3,2022-08-11,1315,2,0,15,174.53,1,0.0819,branch,2,2026-03-15,717,1,0.3042,5307.93,0.5317
CLI-2E355188,Brittany,Scott,42,1983-05-03,bscott@outlook.com,(+57) 322 272 45 47,Colombia,285.17,625.47,495.3,1.7368698809241276,0.003,5522.24,565.5,checking,4.5,2022-07-02,1355,1,0,8,36.49,1,0.069,app,5,2026-03-07,772,5,0.8721,777.0,0.1587
CLI-F675BFE5,Michelle,Goodman,35,1991-01-13,mgoodman@icloud.com,539.902.9758,Mexico,1255.32,1690.7,1087.88,0.8666171528460418,0.4502,34141.98,890.6,premium,7.8,2019-11-03,2327,5,1,26,23.09,1,0.0171,app,2,2026-03-15,797,1,0.2853,3531.14,0.8565
CLI-166BA678,Theresa,Palmer,44,1982-01-31,tpalmer@icloud.com,(283) 397-3220 x102,Canada,3337.6,11246.94,4610.9,1.3814993904690631,-0.1066,219672.91,43709.65,premium,6.4,2020-03-14,2195,5,1,24,192.26,2,0.1842,app,0,2026-03-18,529,2,0.9553,6231.5,0.4467
CLI-2CE347DF,Jonathan,Padilla,30,1995-05-21,jonathan.padilla@hotmail.com,(363)650-5954,Mexico,198.09,352.44,640.46,3.233255156449595,-0.0019,2981.94,544.46,savings,3.0,2023-02-25,1117,1,1,30,5.95,1,0.1151,web,2,2026-03-13,526,4,0.99,500.0,0.6368
CLI-B14ADD5E,Sharon,Melton,56,1969-04-30,sharon88@icloud.com,268.919.0502x106,Uruguay,1092.81,1157.0,1190.37,1.0892713432538506,-0.028,16145.03,17783.67,checking,6.0,2021-07-23,1699,4,0,14,658.01,2,0.1089,ATM,8,2026-03-01,467,1,0.9399,1801.21,0.2511
CLI-5C359CC3,Aaron,Smith,41,1984-11-26,asmith@hotmail.com,(+57) 604 220 90 18,Colombia,436.85,2363.48,642.65,1.4711103538074697,-0.0614,9338.73,3011.71,premium,10.2,2016-09-09,3477,2,1,15,10.46,0,0.1514,app,5,2026-03-10,809,1,0.687,1247.34,0.0826
CLI-D004B83F,Julia,Stout,37,1988-09-14,jstout@hotmail.com,+56 71 388 2276,Chile,909.56,2955.71,1101.27,1.2107735070426093,-0.0705,82737.78,4582.59,savings,3.9,2023-01-17,1156,2,1,24,143.54,0,0.1825,web,1,2026-03-16,417,2,0.9726,1338.66,0.2886
CLI-845BCB06,James,Moore,45,1981-03-01,moore.j@yahoo.com,3106549322,Colombia,939.51,5496.63,1040.62,1.1076207014563602,-0.0326,75799.37,2685.17,premium,10.7,2016-11-16,3409,4,1,34,28.9,2,0.2907,web,3,2026-03-06,670,0,0.723,2221.66,0.1549
CLI-427F2830,Leslie,Lane,44,1981-04-15,llane@icloud.com,644.841.8797x17231,Ecuador,308.87,565.64,689.79,2.2332542803258675,0.0027,19184.92,781.74,savings,19.8,2007-05-03,6894,3,1,24,25.63,2,0.0834,ATM,12,2026-03-02,703,1,0.9826,766.36,0.6734
CLI-2249CABD,Christina,Zavala,43,1982-04-25,christina.zavala@gmail.com,5312791,Colombia,839.62,5313.77,917.27,1.0924820566742706,-0.099,11555.63,2617.42,savings,3.4,2023-09-25,905,6,0,14,232.75,3,0.4352,web,4,2026-03-07,697,1,0.6611,2065.47,0.186
CLI-AD14609B,Cathy,Taylor,50,1975-12-14,cathy19@icloud.com,695.160.2143,Mexico,2609.54,8548.66,2139.21,0.819765517401177,0.2793,32195.1,5149.58,savings,12.4,2014-06-03,4306,4,1,22,809.92,3,0.0481,web,0,2026-03-13,799,0,0.2541,7358.9,0.8442
CLI-9AC9351F,Jay,Scott,49,1976-08-14,jay.scott@gmail.com,+57 602 270 88 91,Colombia,345.34,952.74,585.16,1.6944496968642009,0.0496,4370.14,442.9,premium,14.0,2012-08-05,4973,4,1,17,51.09,2,0.0537,app,17,2026-02-27,618,1,0.9605,753.25,0.1981
CLI-36277099,David,Gregory,37,1988-11-17,dgregory@gmail.com,(+57) 603 533 55 48,Colombia,1091.69,3256.04,1099.97,1.0075865982343022,-0.1274,20759.68,2730.82,savings,8.1,2018-12-26,2639,4,0,14,172.57,1,0.0545,app,1,2026-03-15,683,4,0.632,2631.62,0.1376
CLI-410ABF5C,Jeanne,Griffin,32,1993-10-20,jgriffin@icloud.com,31 4604 4581,Brazil,444.55,592.66,421.62,0.9484251120039041,0.2324,59713.86,754.2,premium,8.0,2019-07-11,2442,1,1,22,2.14,0,0.2547,branch,0,2026-03-16,836,0,0.2636,1311.68,0.7051
CLI-08C043A2,Monica,Moore,34,1991-05-24,mmoore@hotmail.com,846-525-9837,Venezuela,94.54,168.32,51.57,0.5454686194354738,0.0814,-448.53,322.5,savings,11.7,2015-09-03,3849,2,0,10,9.28,1,0.0637,app,0,2026-03-18,427,2,0.8149,500.0,0.1139
CLI-5B935C60,Jessica,Martinez,31,1994-12-13,jmartinez@gmail.com,+1-813-721-4715,Peru,596.84,1636.93,670.51,1.123431497567871,-0.069,9196.78,5067.85,checking,11.8,2015-02-09,4055,5,0,9,1.0,1,0.2831,web,5,2026-03-04,727,0,0.6197,1531.42,0.2876
CLI-895A7CCC,Steven,Caldwell,38,1987-12-30,steven.caldwell@outlook.com,989-059-5275x192,Mexico,660.49,2585.26,809.23,1.2251971348794668,-0.0654,-3754.56,2313.59,premium,18.5,2008-10-28,6350,4,1,20,15.55,0,0.0316,ATM,12,2026-02-27,763,2,0.6146,1778.66,0.1576
CLI-A14BCB96,Rebecca,Rich,33,1992-10-07,rebecca96@hotmail.com,06345456507,Mexico,781.52,974.27,987.36,1.263385107658857,-0.1321,12308.02,2545.32,savings,18.0,2009-03-13,6214,5,0,12,61.75,2,0.0571,ATM,2,2026-03-06,812,3,0.5339,2239.74,0.2348
CLI-5EB1DC66,Mike,York,47,1979-03-13,mike.york@icloud.com,+56 42 291 9211,Chile,1763.73,3555.79,1552.07,0.8799981480326869,0.5036,-7838.25,6344.61,premium,1.5,2025-10-02,167,5,1,22,386.34,1,0.1135,web,4,2026-03-13,673,2,0.562,4189.38,0.3821
CLI-8755B092,Claire,White,28,1997-06-27,claire83@outlook.com,623-789-1436,Mexico,880.28,3179.48,1095.6,1.2446054753799112,-0.0795,21683.96,911.76,checking,1.5,2025-03-16,367,5,0,14,80.2,0,0.0583,app,0,2026-03-15,681,0,0.7808,2115.78,0.1284
CLI-0C42C5A1,Vanessa,Davis,36,1989-08-01,vanessa.davis@outlook.com,330-456-9419,Mexico,8255.91,17799.32,5720.03,0.6928402374259439,0.0953,111634.2,28936.26,premium,8.9,2018-09-04,2752,5,1,35,68.48,3,0.0268,app,1,2026-03-14,742,2,0.281,21620.77,0.8805
CLI-40B8303F,Sharon,Austin,56,1969-03-23,sharon32@hotmail.com,(+57)6071031230,Colombia,1129.77,190.8,1107.29,0.9800948132474225,0.3439,-4669.62,5681.59,checking,12.4,2014-03-02,4399,3,0,19,136.67,0,0.0708,app,0,2026-03-15,520,2,0.8744,2073.46,0.1721
CLI-FA621CBF,Troy,Richardson,38,1987-10-03,richardson.t@yahoo.com,675-376-1558,Uruguay,249.48,349.64,796.99,3.1946143511367144,-0.1178,7267.4,448.29,savings,11.2,2015-02-14,4050,2,0,11,36.09,1,0.2565,app,0,2026-03-15,764,1,0.99,672.72,0.2028
CLI-2F92EA9C,Elizabeth,Hunt,44,1981-03-30,ehunt@icloud.com,419-723-5995,Venezuela,125.82,334.46,88.86,0.7062380093272322,0.181,1688.89,830.01,savings,11.2,2015-06-18,3926,4,0,15,2.44,1,0.0756,branch,10,2026-03-03,547,3,0.7054,500.0,0.2919
CLI-B0F245E4,Brady,Padilla,49,1977-01-13,brady96@gmail.com,(350)622-7798,Ecuador,3102.07,17638.41,2217.85,0.7149577207665233,0.3074,66129.9,4828.09,checking,17.4,2009-03-02,6225,2,0,13,284.77,1,0.0177,app,1,2026-03-09,669,3,0.4478,7324.53,0.7053
CLI-5A8C6654,Eric,Davis,58,1967-06-06,eric.davis@yahoo.com,708-859-8963x482,Peru,1016.44,816.67,1046.62,1.029690978011194,-0.0694,-3825.27,1347.86,savings,3.4,2023-02-17,1125,1,0,10,51.5,4,0.401,app,2,2026-03-06,660,2,0.6935,2367.71,0.0799
CLI-2E85E4B7,Margaret,Martin,24,2001-12-06,mmartin@outlook.com,650-557-2478x37126,Dominican Republic,7297.64,30435.1,2396.79,0.3284334418495366,0.595,511259.42,80539.31,savings,13.1,2013-03-09,4757,1,1,27,562.05,3,0.3515,app,5,2026-03-07,660,4,0.2163,16999.21,0.8442
CLI-658390FA,Michelle,Stanton,46,1979-12-29,stanton.m@yahoo.com,551-548-9801,Guatemala,647.43,2349.82,945.1,1.4597647912361758,-0.1225,13474.67,1761.59,checking,5.3,2021-08-25,1666,2,0,14,126.16,0,0.2645,app,3,2026-03-07,662,0,0.8898,1512.7,0.2184
CLI-6BAC71E2,Dawn,Fowler,44,1981-05-13,dawn.fowler@outlook.com,351-632-8488x272,Venezuela,39.2,10.63,22.31,0.5691841762336549,0.135,597.17,150.46,premium,9.3,2017-06-26,3187,2,1,26,1.92,1,0.0231,web,0,2026-03-08,739,2,0.217,500.0,0.6962
CLI-56E2D912,Melissa,Baker,32,1994-02-14,melissa81@outlook.com,01 8007 402 478,Colombia,1057.58,1867.92,990.01,0.9361080783862246,0.115,17243.56,9409.55,premium,9.9,2017-12-03,3027,4,1,15,84.79,2,0.0562,app,11,2026-03-06,805,0,0.3138,3004.77,0.8777
CLI-15C7C874,Sara,Frey,41,1984-06-09,frey.s@hotmail.com,+57 327 366 36 42,Colombia,2291.99,3999.28,1571.3,0.6855612279850845,0.2552,51800.09,5889.72,premium,14.0,2012-11-06,4880,3,1,19,1153.08,1,0.1831,app,1,2026-03-14,778,1,0.2161,6293.53,0.8811
CLI-2F0E2DDA,John,Diaz,43,1982-10-25,diaz.j@yahoo.com,633.657.7911x4494,Paraguay,500.52,1174.06,630.32,1.2593237660039485,0.0322,22947.06,1646.29,premium,10.3,2016-09-05,3481,3,1,31,121.9,1,0.1361,branch,0,2026-03-18,769,0,0.6258,1358.47,0.2187
CLI-56FA1278,Anthony,Price,46,1979-11-25,anthony79@icloud.com,149.496.7966,Mexico,446.42,1073.32,683.89,1.5319240608341,-0.1085,6870.2,1905.52,premium,17.2,2009-06-16,6119,3,1,26,31.34,2,0.1253,branch,1,2026-03-10,562,1,0.9614,885.49,0.2873
CLI-04269957,Corey,Meyer,39,1987-03-10,corey12@gmail.com,313 054 73 44,Colombia,272.52,448.72,495.19,1.817079566529922,0.0022,6395.85,582.07,checking,19.6,2007-08-24,6781,2,0,13,97.21,2,0.0571,branch,0,2026-03-17,503,2,0.99,500.0,0.3588
CLI-C6283E35,William,Sanchez,34,1991-04-21,sanchez.w@icloud.com,(+57) 307 210 01 96,Colombia,609.53,904.43,783.59,1.2855721457532006,-0.0793,9664.03,4881.6,savings,4.9,2022-02-18,1489,2,1,25,20.39,2,0.4521,web,0,2026-03-12,500,2,0.9543,1075.64,0.1537
CLI-4AB442D5,Allison,Jones,60,1965-12-23,allison38@gmail.com,+54 15 2130 1799,Argentina,178.01,383.74,379.47,2.1317984756957165,0.0327,-1303.45,104.34,savings,17.0,2009-04-24,6172,3,0,14,3.5,0,0.0035,branch,4,2026-03-14,801,1,0.9448,503.24,0.5147
CLI-C5A489C8,Casey,Nelson,51,1974-08-23,casey96@hotmail.com,+1-314-805-7127x842,Ecuador,1318.59,6761.83,1236.87,0.9380241145395921,0.268,26696.0,6789.16,savings,7.9,2019-06-05,2478,3,1,20,74.36,1,0.4955,web,1,2026-03-08,407,3,0.9449,1894.12,0.3067
CLI-ACA05CCE,Andrew,Garza,46,1979-07-05,agarza@hotmail.com,937.249.0805,Peru,719.23,2017.95,744.93,1.0357412534534591,-0.0846,-2650.08,536.29,premium,11.9,2015-07-13,3901,4,1,22,152.2,0,0.4102,branch,11,2026-03-04,795,1,0.403,2018.07,0.8915
CLI-B5B09D06,Tony,Maddox,36,1989-10-17,tony.maddox@gmail.com,779-594-6529,Canada,4316.37,7957.3,5296.58,1.2270895529051937,-0.0913,123382.43,13514.26,premium,9.9,2017-04-18,3256,5,1,31,2625.95,3,0.0435,app,19,2026-02-23,765,2,0.6116,11654.2,0.2654
CLI-21AFC253,Katie,Woods,29,1996-11-06,kwoods@outlook.com,598-845-6644x92246,Uruguay,716.55,468.58,962.63,1.3434150116792123,-0.143,-7209.07,2653.46,premium,4.0,2022-11-13,1221,3,1,24,115.16,1,0.1313,app,0,2026-03-16,706,0,0.7924,1785.47,0.2072
CLI-416871AF,David,Moore,19,2006-07-05,david93@hotmail.com,290-653-1098,Mexico,888.16,2954.28,1014.48,1.1422282193299094,-0.1272,12121.68,8210.29,premium,17.6,2009-11-08,5974,4,1,30,16.76,1,0.4616,app,1,2026-03-17,649,4,0.778,2034.41,0.2412
CLI-64AA25C4,Eric,Walker,40,1985-09-30,eric3@gmail.com,939-309-4921x84575,Mexico,368.31,134.65,730.41,1.9831330568310193,0.034,-1839.02,653.39,savings,17.7,2009-08-12,6062,5,0,14,109.0,0,0.0328,web,6,2026-03-12,699,0,0.9652,908.64,0.1234
CLI-CEE637BF,Erin,Clark,45,1980-06-07,erin.clark@outlook.com,+55 (031) 6350-9495,Brazil,529.5,894.43,587.28,1.1091090351158006,-0.0812,14182.64,419.0,premium,6.3,2020-11-18,1946,3,1,22,3.89,0,0.0087,app,9,2026-03-04,781,3,0.4887,1459.55,0.922
CLI-41E00A44,Dawn,Wolfe,45,1980-09-24,dawn.wolfe@outlook.com,001-519-290-6429,Peru,254.58,324.65,489.87,1.9242279127533366,-0.0519,5127.65,840.22,premium,2.8,2024-03-25,723,2,1,29,42.68,1,0.6495,ATM,0,2026-03-14,805,1,0.8986,723.31,0.2924
CLI-19215732,Tamara,Barnes,25,2000-05-23,tamara.barnes@icloud.com,(+57) 306 342 30 98,Colombia,815.85,1865.9,713.11,0.8740673729125783,0.1559,14089.83,6072.16,savings,4.3,2022-04-09,1439,2,1,22,594.1,1,0.237,branch,0,2026-03-12,750,1,0.3849,2159.6,0.9239
CLI-746E74B1,Jason,Thomas,48,1977-03-25,thomas.j@outlook.com,215-505-9498x3973,Mexico,760.78,422.17,968.17,1.2726060799470968,-0.1218,13027.94,2675.08,premium,6.4,2020-10-23,1972,4,1,15,219.51,0,0.3384,web,0,2026-03-18,500,2,0.9526,1342.55,0.2363
CLI-32143235,Christopher,Lee,37,1988-11-26,christopher.lee@outlook.com,245.791.3875x5401,Mexico,352.7,399.79,671.41,1.9036082996201829,0.0059,11866.48,814.19,savings,15.5,2011-03-24,5473,3,0,14,44.42,0,0.2376,ATM,1,2026-03-16,747,1,0.9338,929.88,0.187
CLI-16651838,Michelle,Cole,30,1996-01-01,mcole@outlook.com,276.308.9968,Bolivia,489.79,324.17,772.86,1.5779498527142497,-0.0713,10270.77,949.6,checking,8.0,2019-01-26,2608,2,0,9,139.3,2,0.0134,app,0,2026-03-16,707,1,0.8843,1222.17,0.2106
CLI-D5920728,Chris,Steele,19,2006-04-11,chris44@yahoo.com,101.956.7420x7300,Mexico,376.67,1260.61,653.62,1.7352876105017938,0.0045,5293.27,2794.3,premium,12.3,2014-07-08,4271,3,1,22,87.59,1,0.2293,app,2,2026-03-08,654,0,0.952,869.44,0.0333
CLI-CE45ABC4,Cynthia,Henry,55,1970-06-09,cynthia.henry@outlook.com,+59(4)5519100274,Mexico,541.37,722.79,933.43,1.7242107888175093,-0.0813,7641.14,1162.38,premium,19.7,2007-09-19,6755,2,1,25,81.49,1,0.2204,web,4,2026-03-11,658,0,0.9487,1257.25,0.2162
CLI-C64BAF75,Matthew,Howard,42,1983-04-13,mhoward@gmail.com,+57 326 493 49 98,Colombia,354.35,1412.16,557.2,1.5724686564575365,-0.1406,-2014.59,213.2,checking,9.8,2017-09-07,3114,7,0,14,3.16,0,0.1405,branch,3,2026-03-05,636,2,0.9348,795.41,0.4102
CLI-3D5507E2,Melissa,Walker,36,1990-01-06,melissa61@hotmail.com,+55 71 2230 5420,Brazil,170.47,195.12,375.92,2.2051523018003403,-0.0874,2566.84,83.73,premium,18.7,2008-11-15,6332,2,1,36,9.87,0,0.0774,branch,0,2026-03-09,725,1,0.9771,500.0,0.4243
CLI-1A529083,Ashley,Bennett,44,1981-12-31,ashley.bennett@outlook.com,(873)476-4265x693,Mexico,621.46,2195.46,834.45,1.342723918260768,-0.1122,-7171.37,1887.15,savings,2.6,2024-04-13,704,4,0,9,59.02,1,0.1829,branch,9,2026-02-27,779,2,0.6623,1708.65,0.1508
CLI-34E80413,Melissa,Patel,45,1980-11-24,melissa.patel@outlook.com,1-609-042-0610x5583,Mexico,3247.48,8715.81,2999.88,0.9237580241534098,0.1808,40751.66,9922.99,premium,10.9,2016-12-09,3386,4,1,16,85.66,2,0.1124,app,0,2026-03-12,780,0,0.3561,8940.12,0.9447
CLI-117FF67A,Andres,Williams,34,1991-05-22,awilliams@hotmail.com,+54 9 3766 2239,Argentina,577.23,268.04,663.05,1.1486687025053344,-0.0974,11038.4,882.52,savings,7.9,2019-12-08,2292,4,0,11,110.62,1,0.1681,ATM,3,2026-03-12,656,1,0.7702,1336.46,0.2613
CLI-FE54E9AB,Jacqueline,Snyder,30,1996-03-07,jacqueline.snyder@yahoo.com,+57 327 020 18 69,Colombia,1978.84,2368.81,1542.3,0.7793968615302133,0.4546,47284.5,5945.41,savings,1.1,2025-11-23,115,2,1,32,335.62,1,0.1272,app,0,2026-03-11,580,2,0.6884,4050.8,0.5105
CLI-BA77C8D7,Teresa,Williams,26,1999-04-19,teresa89@icloud.com,6061161989,Colombia,891.69,1932.49,880.9,0.9879029683327895,0.157,26703.18,1212.22,premium,7.0,2020-06-13,2104,5,1,32,209.04,0,0.2633,branch,2,2026-03-12,619,0,0.7434,1948.08,0.2257
CLI-9F407B00,Melanie,Davis,38,1987-05-27,davis.m@hotmail.com,(+57) 303 226 70 26,Colombia,2229.68,2468.48,1300.46,0.5832495601734615,0.4353,33200.61,7070.87,savings,5.9,2021-10-21,1609,1,1,32,90.58,3,0.2233,branch,2,2026-03-13,837,2,0.106,6586.74,0.9387
CLI-E54D2C7C,Bobby,Cooper,39,1987-01-27,bobby.cooper@outlook.com,6043456132,Colombia,1257.75,4111.66,1044.35,0.8303313585020331,0.1854,23242.89,1129.89,checking,10.7,2016-08-11,3506,4,0,14,323.05,2,0.0705,app,2,2026-03-08,670,1,0.5318,2974.21,0.1941
CLI-1230207F,Lisa,Zhang,55,1970-06-24,zhang.l@gmail.com,(304)854-4874,Peru,426.16,1308.02,508.09,1.1922429903022669,-0.0537,11203.34,870.96,checking,2.9,2024-03-28,720,4,0,11,63.44,0,0.0507,app,0,2026-03-10,667,1,0.7756,1003.23,0.0789
CLI-976F7946,Anthony,Williams,43,1982-04-08,williams.a@outlook.com,+57 309 749 09 53,Colombia,442.11,1762.01,678.82,1.5354010471620418,0.0166,10605.5,439.82,checking,15.8,2011-12-28,5194,2,0,8,101.27,2,0.0756,branch,5,2026-03-10,609,3,0.9425,950.28,0.1238
CLI-0BF5E351,Sarah,Rose,43,1983-02-27,rose.s@gmail.com,+77(5)7698922508,Mexico,835.2,1562.65,998.44,1.1954579904952396,-0.1126,10287.18,5103.85,premium,11.0,2016-09-03,3483,4,1,26,29.2,1,0.0113,branch,3,2026-03-15,711,1,0.7006,2095.86,0.1803
CLI-F075D0DE,Renee,Conner,59,1966-12-01,rconner@yahoo.com,(728)731-6348,Costa Rica,1634.27,786.52,1804.12,1.103931896549564,-0.0461,174021.13,10950.83,savings,12.6,2014-06-20,4289,1,1,25,68.71,1,0.4475,app,1,2026-03-12,749,1,0.5572,4320.24,0.0548
CLI-C79668A6,Austin,Ryan,37,1988-12-15,austin48@gmail.com,(+57)3042501541,Colombia,591.1,293.43,757.96,1.2822921927457118,-0.026,-3538.01,3064.96,savings,3.4,2023-11-11,858,3,0,18,69.91,1,0.1786,app,4,2026-03-04,581,2,0.9082,1212.1,0.1457
CLI-2C111C48,Emily,Floyd,25,2000-10-27,floyd.e@icloud.com,(394)496-7571,Peru,587.41,1246.78,510.55,0.8691593551590818,0.1017,11185.86,13481.29,savings,2.3,2024-11-27,476,4,0,11,49.81,2,0.0606,app,1,2026-03-09,626,0,0.6556,1297.83,0.2296
CLI-BB4E7920,Megan,Gray,51,1974-04-22,megan.gray@outlook.com,+34923 27 21 42,Spain,1672.53,4922.95,2577.57,1.5411182481656884,-0.0837,22007.67,2904.68,premium,6.8,2020-10-12,1983,4,1,27,100.43,2,0.1684,web,7,2026-03-08,765,0,0.8016,4515.83,0.4671
CLI-01CF2521,Sandra,Garza,41,1984-04-29,sgarza@hotmail.com,245.238.1616,Peru,522.12,3089.89,637.85,1.2216572194503106,-0.017,11451.95,1652.88,checking,2.1,2024-06-15,641,2,0,11,7.24,1,0.0724,branch,0,2026-03-13,722,3,0.6961,1330.48,0.5475
CLI-E61F42E6,Jane,Johnson,26,1999-11-14,johnson.j@icloud.com,(979)662-9660x61829,Ecuador,544.77,298.41,768.88,1.4113702222623297,0.0026,31758.5,1441.56,savings,6.9,2020-04-04,2174,2,1,27,155.32,1,0.1881,app,0,2026-03-14,531,1,0.9583,1020.96,0.1859
CLI-221542F4,Andrew,Alexander,44,1982-01-31,alexander.a@hotmail.com,(740)703-1823,Mexico,1975.9,282.95,1621.32,0.8205480426945118,0.3563,-26253.32,8930.46,savings,3.6,2023-03-14,1100,3,1,17,405.34,2,0.0645,app,5,2026-03-08,610,4,0.6555,4254.0,0.0115
CLI-35C3E1A4,Jessica,Wilson,41,1985-01-02,jessica.wilson@outlook.com,5492295,Colombia,1295.26,2463.36,1152.0,0.8893982952384132,0.1048,22751.92,1972.93,checking,8.5,2018-03-08,2932,2,0,7,41.32,2,0.0579,web,4,2026-03-04,642,3,0.6362,2934.91,0.1449
CLI-AEA083A6,Joseph,Howard,32,1993-12-22,joseph4@outlook.com,+1-281-953-2290x47347,Peru,711.95,703.13,672.05,0.943948415815677,0.2547,12939.35,785.76,premium,11.8,2015-05-09,3966,5,1,28,11.48,0,0.0201,web,9,2026-03-02,510,1,0.8724,1281.51,0.3187
CLI-5AC81D4F,Anthony,Wilson,47,1978-03-26,anthony.wilson@gmail.com,+56 9 2936 5719,Chile,3159.77,6930.6,3071.21,0.9719724592234952,0.2937,72924.61,14481.25,premium,2.7,2024-10-15,519,4,1,26,1893.61,1,0.1865,app,1,2026-03-17,819,1,0.3095,9133.59,0.9375
CLI-EC184D99,Morgan,Bell,45,1980-07-08,morgan80@gmail.com,001-867-755-5423,Peru,404.07,86.53,544.82,1.3483313124635308,0.0421,9263.68,313.07,checking,12.9,2014-06-03,4306,2,0,10,32.74,2,0.2003,ATM,0,2026-03-10,662,2,0.8525,944.1,0.3
